CreatedDate,CreatedTime,Distance in Cm
16032019,1:24:15 PM,287.6
16032019,1:24:25 PM,287.9
16032019,1:24:35 PM,288.4
16032019,1:24:45 PM,286.7
16032019,1:24:55 PM,287.6
16032019,1:25:05 PM,287.5
16032019,1:25:15 PM,288.4
16032019,1:25:25 PM,287.2
16032019,1:25:35 PM,287.1
16032019,1:25:45 PM,288.4
16032019,1:25:55 PM,287.1
16032019,1:26:05 PM,286.7
16032019,1:26:15 PM,287.1
16032019,1:26:25 PM,287.1
16032019,1:26:35 PM,287.1
16032019,1:26:45 PM,287.6
16032019,1:26:55 PM,289.3
16032019,1:27:05 PM,289.7
16032019,1:27:15 PM,287.1
16032019,1:27:25 PM,286.7
16032019,1:27:35 PM,287.6
16032019,1:27:45 PM,287.6
16032019,1:27:55 PM,287.1
16032019,1:28:05 PM,287.1
16032019,1:28:15 PM,286.7
16032019,1:28:25 PM,288.4
16032019,1:28:35 PM,288.4
16032019,1:28:45 PM,287.5
16032019,1:28:55 PM,288
16032019,1:29:05 PM,287.1
16032019,1:29:15 PM,287.5
16032019,1:29:25 PM,288
16032019,1:29:35 PM,287.6
16032019,1:29:45 PM,288.5
16032019,1:29:55 PM,290.1
16032019,1:30:05 PM,289.3
16032019,1:30:15 PM,287.1
16032019,1:30:25 PM,287.6
16032019,1:30:35 PM,287.5
16032019,1:30:45 PM,287.1
16032019,1:30:55 PM,288
16032019,1:31:05 PM,287.1
16032019,1:31:15 PM,288.9
16032019,1:31:25 PM,287.2
16032019,1:31:35 PM,287.1
16032019,1:31:45 PM,289.2
16032019,1:31:55 PM,287.6
16032019,1:32:05 PM,288
16032019,1:32:15 PM,287.6
16032019,1:32:25 PM,288.8
16032019,1:32:35 PM,288.1
16032019,1:32:45 PM,288.9
16032019,1:32:55 PM,288.1
16032019,1:33:05 PM,287.6
16032019,1:33:15 PM,287.5
16032019,1:33:25 PM,287.5
16032019,1:33:35 PM,287.5
16032019,1:33:45 PM,287.1
16032019,1:33:55 PM,288.1
16032019,1:34:05 PM,288.1
16032019,1:34:15 PM,288.8
16032019,1:34:25 PM,287.2
16032019,1:34:35 PM,288.5
16032019,1:34:45 PM,287.1
16032019,1:34:55 PM,287.2
16032019,1:35:05 PM,287.1
16032019,1:35:15 PM,288.9
16032019,1:35:25 PM,288.5
16032019,1:35:35 PM,288.5
16032019,1:35:45 PM,287.6
16032019,1:35:55 PM,287.6
16032019,1:36:05 PM,288
16032019,1:36:15 PM,288.4
16032019,1:36:25 PM,288.5
16032019,1:36:35 PM,287.6
16032019,1:36:45 PM,287.2
16032019,1:36:55 PM,287.1
16032019,1:37:05 PM,287.9
16032019,1:37:15 PM,288
16032019,1:37:25 PM,287.6
16032019,1:37:35 PM,288.5
16032019,1:37:45 PM,287.6
16032019,1:37:55 PM,288.1
16032019,1:38:05 PM,287.2
